id,product_name,price,quantity,expiration_date,category,manufacturer,stock_symbol,location,is_available,purchase_date
26,Tomato Puree,52.45,140,11/17/2023,household,Quaxo,PTH,Room 1999,false,12/2/2023
27,Shrimp - Tiger 21/25,25.31,522,3/11/2023,beverages,Photolist,PRH,Room 720,false,7/28/2023
28,Beef - Kobe Striploin,48.75,471,7/6/2022,food,Voonix,BCPC,Apt 175,false,6/5/2023
29,Sea Bass - Fillets,84.07,224,12/21/2023,household,Zava,IBKCP,PO Box 38932,true,11/10/2022
30,Pork - Ground,20.76,279,7/12/2023,household,Twitternation,ALL,Apt 1842,true,10/28/2023
31,Remy Red Berry Infusion,60.47,119,12/1/2023,household,Gabtype,RUBI,PO Box 91833,false,4/21/2022
32,Wine - Kwv Chenin Blanc South,18.87,371,7/31/2023,household,Tagfeed,NLY,Suite 42,true,2/26/2023
33,Amaretto,28.16,926,8/11/2023,food,Wikizz,MTSL,11th Floor,true,4/19/2022
34,"Stock - Veal, White",13.09,664,7/12/2022,beverages,Voomm,ANAT,Suite 66,true,4/10/2022
35,Chocolate - Sugar Free Semi Choc,18.89,945,11/19/2022,beverages,Livefish,AAPL,Room 1882,true,1/25/2023
36,Beef Wellington,73.88,139,5/21/2023,household,Kimia,TCF,Room 1168,false,2/5/2023
37,"Soup - Campbells, Cream Of",19.66,488,8/21/2023,personal care,Mynte,XGTI,Suite 1,false,2/4/2023
38,Blue Curacao - Marie Brizard,50.5,925,3/20/2023,household,Yacero,ECCA,Room 1586,true,11/12/2023
39,"Apple - Delicious, Red",13.58,719,10/22/2023,food,Twitterbridge,SGMA,Apt 709,false,9/12/2023
40,Wine - Rosso Del Veronese Igt,12.99,275,4/21/2023,household,Ooba,RSO^A,PO Box 40269,true,5/17/2022
41,"Juice - Apple, 341 Ml",67.53,860,4/7/2023,personal care,Skidoo,HVT.A,10th Floor,false,7/3/2022
42,Beans - Green,24.22,421,11/30/2022,personal care,Linkbridge,BABA,Room 18,false,10/6/2022
43,Muskox - French Rack,18.4,809,1/23/2022,household,Demivee,ANY,PO Box 84776,true,7/18/2022
44,"Sauce - Gravy, Au Jus, Mix",41.77,77,3/24/2022,food,Latz,STLRW,Suite 23,true,11/29/2023
45,Tomatoes - Grape,95.95,666,7/25/2022,beverages,Trilith,TQQQ,Apt 913,false,1/16/2022
46,Wine - Cousino Macul Antiguas,89.87,189,3/20/2022,beverages,Shufflester,L,Suite 35,false,7/14/2023
47,"Doilies - 8, Paper",32.33,238,7/15/2022,beverages,Tagpad,ORG,18th Floor,true,12/31/2022
48,Vol Au Vents,48.16,840,7/10/2022,beverages,Quaxo,TDA,17th Floor,true,4/22/2023
49,Pork - Back Ribs,94.43,300,7/28/2022,personal care,Meezzy,MDGS,Room 1341,false,3/10/2023
50,Mcgillicuddy Vanilla Schnap,17.52,845,10/4/2022,beverages,Voolia,OBCI,Room 1963,false,1/5/2022
51,Wine - Carmenere Casillero Del,19.9,910,10/29/2022,personal care,Thoughtworks,CSL,6th Floor,true,1/27/2022
52,"Salsify, Organic",62.1,422,3/10/2023,food,Youspan,ATAI,6th Floor,false,11/15/2023
53,Salmon - Sockeye Raw,45.85,795,7/9/2022,beverages,Kamba,EMD,Apt 1624,false,7/21/2023
54,Nantucket - Carrot Orange,94.38,312,5/6/2023,personal care,Wikivu,PEN,16th Floor,true,4/3/2022
55,Lumpfish Black,46.22,441,1/6/2023,beverages,Meedoo,SWK,18th Floor,true,9/9/2022
56,Yoghurt Tubes,79.22,591,3/14/2022,household,Browsetype,IHD,Room 1385,true,2/5/2022
57,Goat - Whole Cut,90.64,480,4/29/2022,beverages,Riffpedia,TK,19th Floor,false,11/1/2023
58,"Juice - Grape, White",38.71,252,12/26/2023,food,Skinix,LSXMK,Suite 41,false,7/4/2023
59,Salt - Table,71.69,781,5/25/2022,personal care,Devify,KSM,Apt 1972,false,11/11/2022
60,Egg - Salad Premix,14.56,631,9/4/2023,food,Topicblab,ADP,Apt 1763,true,11/2/2022
61,Beer - Sleemans Honey Brown,95.01,220,6/15/2022,beverages,Eabox,MYI,Suite 23,false,2/21/2022
62,Kale - Red,84.57,377,4/9/2022,household,Gigazoom,BKSC,PO Box 30469,false,11/19/2023
63,Goat - Leg,48.05,331,11/25/2023,beverages,Rooxo,TPX,6th Floor,true,6/30/2022
64,Wine - Domaine Boyar Royal,35.17,503,6/24/2023,household,Eamia,BLBD,Apt 722,true,2/9/2023
65,Oil - Cooking Spray,90.77,271,4/24/2023,food,Skibox,JPM^A,Room 208,false,12/19/2022
66,Brandy Apricot,56.87,525,10/2/2023,household,Podcat,GAIN,Apt 242,false,6/4/2023
67,Honey - Lavender,32.64,189,10/4/2022,beverages,Realbuzz,SALT,Apt 555,false,9/12/2022
68,Pizza Pizza Dough,75.94,272,9/13/2022,beverages,Kazio,PAY,Suite 22,true,11/6/2022
69,Currants,18.56,836,12/11/2022,personal care,Wikizz,RLJ,Apt 1284,false,10/16/2023
70,Lettuce - Boston Bib,41.47,673,11/22/2023,household,Browseblab,WAB,6th Floor,true,8/11/2023
71,Cheese - Parmigiano Reggiano,77.55,129,6/20/2022,personal care,Nlounge,WF,Apt 642,false,1/20/2023
72,Yoghurt Tubes,67.39,181,4/21/2023,beverages,Camimbo,HCP,PO Box 8170,false,2/9/2022
73,Wheat - Soft Kernal Of Wheat,33.26,997,4/10/2022,household,Tekfly,CLDX,Apt 502,false,9/28/2022
74,Chinese Foods - Chicken Wing,35.25,701,1/26/2023,beverages,Rhynoodle,ADRD,PO Box 38836,true,3/1/2022
75,Loquat,12.34,73,4/28/2023,beverages,Mymm,PHI,6th Floor,false,12/9/2022
76,Carbonated Water - White Grape,51.12,901,7/23/2022,food,Rhynyx,LDR,PO Box 26260,false,11/20/2023
77,Chivas Regal - 12 Year Old,6.84,607,9/4/2022,beverages,Agivu,FET,Suite 25,true,6/22/2022
78,"Sauce - Bernaise, Mix",42.41,602,8/27/2023,household,Kaymbo,ACM,Apt 1400,true,4/20/2022
79,"Soup - Campbells, Butternut",50.07,989,1/20/2023,household,Tekfly,SPOK,Room 1087,true,4/26/2022
80,Apples - Spartan,49.22,440,2/21/2022,personal care,Tazz,LXFT,Room 629,false,6/18/2022
81,Wasabi Powder,32.99,517,4/30/2022,personal care,Bubbletube,FOXF,Room 1912,false,2/2/2023
82,Magnotta - Bel Paese White,3.46,786,8/25/2023,beverages,Brightbean,ABR^B,PO Box 374,true,11/18/2022
83,Beer - Mcauslan Apricot,79.96,948,3/14/2023,personal care,Voomm,CLNS^E,PO Box 65163,false,12/1/2023
84,Muffin Puck Ww Carrot,26.89,44,3/10/2022,household,Twitterbridge,GAB^H,12th Floor,false,9/6/2022
85,Chips Potato Salt Vinegar 43g,73.34,148,7/27/2023,food,Demizz,OSK,PO Box 81013,false,5/24/2022
86,Grapefruit - White,66.27,308,8/23/2022,food,Tazz,IMOS,Apt 78,true,3/7/2022
87,Kellogs Raisan Bran Bars,24.14,944,8/19/2022,personal care,Centimia,PGLC,4th Floor,true,7/30/2022
88,Bread - Sour Batard,56.54,439,12/25/2023,food,Mynte,NGHC,Room 1144,false,1/23/2022
89,Pancetta,50.74,725,2/19/2023,food,Layo,FSFR,Suite 97,false,9/10/2022
90,Bread Fig And Almond,21.88,25,11/2/2022,beverages,Yozio,CECO,Suite 18,true,4/14/2023
91,Cheese - Victor Et Berthold,84.56,681,9/4/2022,personal care,Devbug,TU,Apt 893,false,6/3/2023
92,Chips Potato Reg 43g,46.46,202,6/24/2023,food,Yakitri,VIVE,PO Box 86357,true,7/3/2023
93,"Tomatoes - Plum, Canned",62.51,129,12/10/2022,beverages,Skipfire,HIX,PO Box 18008,false,2/1/2023
94,"Crab - Back Fin Meat, Canned",19.02,80,1/25/2023,beverages,Jabberbean,BMI,9th Floor,false,10/15/2022
95,"Leeks - Baby, White",45.96,979,2/20/2023,food,Myworks,LAYN,PO Box 45491,true,1/9/2023
96,Jello - Assorted,54.59,752,7/30/2022,personal care,Eidel,KALU,16th Floor,true,12/29/2022
97,Fudge - Chocolate Fudge,52.94,359,5/30/2022,beverages,Trudeo,FUSB,Apt 528,true,7/7/2022
98,Cheese - La Sauvagine,24.45,164,8/16/2023,food,Abatz,BTU,PO Box 70979,true,1/13/2022
99,Beans - Fine,88.78,478,8/18/2022,food,Linklinks,JAZZ,Suite 59,true,8/17/2023
100,Snapple - Mango Maddness,36.22,147,4/26/2022,household,Talane,GSH,Room 1899,false,2/7/2023
101,Beans - French,89.54,989,12/1/2022,beverages,Quamba,MTRX,Room 1602,true,11/11/2023
102,Chicken - Livers,32.52,107,10/2/2022,household,Kimia,GPACW,Apt 1948,false,12/16/2022
103,Uniform Linen Charge,76.96,17,9/29/2022,food,Yakidoo,VVC,Suite 35,true,3/1/2022
104,"Nut - Peanut, Roasted",40.36,451,9/23/2022,personal care,Buzzdog,ARMK,Suite 88,true,3/11/2023
105,Potatoes - Mini White 3 Oz,81.91,852,3/15/2023,beverages,Topicblab,IMAX,Suite 68,true,2/25/2022
106,Wild Boar - Tenderloin,6.0,467,11/20/2022,household,Mydo,CLACU,4th Floor,true,6/13/2022
107,Sauce - Fish 25 Ozf Bottle,14.79,969,9/20/2022,household,Yodoo,PSA^Z,Room 1187,true,7/7/2023
108,"Cake Circle, Foil, Scallop",93.44,60,2/11/2023,personal care,Wordify,PNRA,Apt 1948,false,11/13/2022
109,"Juice - Pineapple, 341 Ml",2.38,358,12/2/2023,personal care,Browsetype,MDT,Room 576,true,5/23/2023
110,"Oranges - Navel, 72",73.75,159,8/26/2023,beverages,Oba,DRIOW,Suite 9,true,8/26/2023
111,Goat - Whole Cut,94.78,651,10/8/2023,food,Zava,SFE,Apt 465,false,1/18/2023
112,Lighter - Bbq,23.32,482,1/5/2022,beverages,Izio,EOCC,Room 992,false,6/7/2022
113,Oil - Macadamia,7.07,421,4/22/2023,food,Brainverse,TXN,Room 896,false,2/9/2022
114,"Beer - Alexander Kieths, Pale Ale",77.44,516,6/11/2023,beverages,Shufflester,FORK,Room 1539,true,9/8/2022
115,Chips Potato Salt Vinegar 43g,66.16,862,5/26/2023,household,Gigazoom,ESTE,PO Box 50061,false,1/23/2023
116,Puree - Guava,70.98,664,8/19/2022,beverages,Livepath,MMDMU,PO Box 15922,false,12/19/2023
117,Clam - Cherrystone,70.12,663,3/25/2022,food,Devify,FEM,Suite 21,false,8/15/2022
118,Cheese - Cheddar With Claret,30.81,150,12/6/2023,beverages,Pixoboo,BORN,PO Box 85584,true,8/6/2022
119,Cheese - Bocconcini,60.4,149,8/8/2022,beverages,Chatterbridge,SAR,15th Floor,true,10/30/2022
120,Snapple - Iced Tea Peach,13.93,574,7/20/2023,personal care,Innotype,UMH^B,8th Floor,true,2/18/2023
121,"Veal - Inside, Choice",23.07,680,7/15/2022,household,Npath,QRHC,PO Box 53351,false,4/23/2022
122,"Sprite, Diet - 355ml",13.51,190,7/14/2023,personal care,Avamba,PRE^H,Suite 16,true,5/4/2023
123,Bread - Calabrese Baguette,84.23,872,12/1/2023,household,Zoozzy,SRNE,PO Box 97185,false,9/21/2022
124,Tequila Rose Cream Liquor,92.22,479,6/13/2023,household,Photolist,ITCI,13th Floor,false,6/6/2023
125,Puree - Mocha,84.05,201,2/26/2023,personal care,Thoughtmix,GLUU,Suite 54,true,10/16/2023
126,"Beans - Fava, Canned",74.5,640,4/24/2023,beverages,Topicstorm,SNGXW,PO Box 93090,false,4/7/2022
127,Cheese - Mozzarella,46.87,581,8/3/2022,beverages,Cogidoo,MSD,Room 650,true,9/14/2022
128,"Sauce - Soya, Light",79.36,938,2/16/2022,food,Quire,CYRX,Suite 31,false,2/2/2023
129,Wine - Two Oceans Sauvignon,68.16,887,3/4/2022,food,Topicshots,THR,Apt 745,true,11/4/2023
130,Capers - Pickled,99.19,399,1/31/2023,food,Blognation,CPIX,11th Floor,true,10/11/2023
131,Tea - Decaf 1 Cup,10.93,571,6/9/2023,household,Myworks,DXC,PO Box 18675,true,6/10/2023
132,Muffin Mix - Banana Nut,99.5,199,1/9/2022,beverages,Browsebug,NHLD,PO Box 94852,true,2/2/2022
133,"Yogurt - Peach, 175 Gr",24.19,798,4/20/2022,household,Thoughtsphere,COF,PO Box 86156,false,3/6/2022
134,"Pasta - Lasagne, Fresh",94.87,667,12/1/2022,personal care,Izio,PFBX,Apt 580,false,2/17/2022
135,Tea Peppermint,43.26,793,5/14/2023,beverages,Gevee,FSC,Room 1643,true,10/4/2022
136,Bar - Sweet And Salty Chocolate,25.4,798,7/14/2023,food,Gabcube,MTFB,Suite 60,true,8/22/2022
137,"Mushroom - Shitake, Fresh",50.77,470,3/10/2022,food,Blogpad,ATOM,Suite 52,false,3/17/2023
138,Flour - All Purpose,87.87,315,12/23/2022,beverages,Babbleblab,COMM,Apt 1075,true,7/27/2022
139,Milk - Homo,13.11,176,11/22/2022,household,Babbleset,CPLP,PO Box 2701,false,12/1/2023
140,Cocoa Powder - Natural,53.95,274,3/31/2022,food,Flashset,COVS,Apt 1031,false,7/27/2022
141,"Pepper - Paprika, Hungarian",6.24,110,5/31/2022,food,Muxo,NIE,17th Floor,false,1/9/2022
142,Cake - Box Window 10x10x2.5,66.85,150,9/25/2023,beverages,Quatz,FANH,Suite 69,true,3/2/2023
143,Extract - Lemon,35.98,603,10/13/2023,personal care,Gevee,GCH,Suite 25,false,6/24/2022
144,Ginger - Fresh,74.27,742,7/9/2022,personal care,Buzzbean,FFG,Suite 1,false,8/19/2022
145,Carbonated Water - White Grape,4.9,672,9/1/2022,food,Photojam,HBANP,Apt 1852,true,2/28/2022
146,Flour - Pastry,70.0,622,6/11/2022,household,Riffwire,BNSO,Room 707,true,12/11/2023
147,Broom And Broom Rack White,6.48,462,9/21/2022,food,Twiyo,SAH,Apt 606,true,8/28/2023
148,Table Cloth 62x120 Colour,1.61,391,5/24/2023,personal care,Geba,AEP,6th Floor,false,4/26/2022
149,Beer - Mcauslan Apricot,19.89,979,2/17/2022,personal care,Voomm,NODK,12th Floor,false,1/23/2022
150,Peach - Fresh,19.45,1000,7/17/2023,household,Pixope,TY,8th Floor,true,6/12/2023
151,Fennel - Seeds,20.15,21,9/6/2022,personal care,Oyoloo,USA,Suite 55,true,11/5/2023
152,Instant Coffee,68.76,847,10/12/2022,beverages,Yotz,VGSH,Room 1963,false,1/7/2023
153,"Bread - Rolls, Rye",62.49,572,10/6/2022,household,Brainverse,RHI,Apt 304,true,1/9/2022
154,Muffin Carrot - Individual,91.94,306,3/20/2023,personal care,Innotype,CORR,PO Box 77369,true,5/27/2022
155,Roe - Flying Fish,22.33,644,1/9/2022,personal care,Rhynoodle,ATXI,Apt 83,false,8/30/2023
156,Bread - 10 Grain Parisian,18.94,289,8/8/2023,household,Babbleopia,LAWS,1st Floor,false,9/18/2022
157,Sauce Bbq Smokey,78.59,814,6/23/2022,household,Edgeblab,AKAM,Room 1548,true,11/2/2023
158,Veal - Ground,79.68,901,2/4/2022,beverages,Vipe,CW,Apt 1696,true,12/8/2022
159,Wiberg Cure,93.33,41,11/24/2022,personal care,JumpXS,WVVI,Suite 71,false,9/22/2023
160,"Bread - Pullman, Sliced",24.02,12,7/28/2023,household,Riffpath,RWLK,Room 905,true,12/15/2022
161,Yoplait - Strawbrasp Peac,54.86,263,7/29/2023,food,Realpoint,ASND,Apt 132,false,6/25/2022
162,Juice - Apple Cider,36.21,475,10/23/2023,food,Kwilith,NEE^G,PO Box 54942,false,6/19/2022
163,Juice - Apple Cider,11.43,961,3/11/2022,personal care,Pixope,HALO,Suite 75,true,9/25/2023
164,Wine - Zonnebloem Pinotage,79.88,618,10/3/2022,food,Tanoodle,EAI,PO Box 94791,false,1/20/2023
165,Meldea Green Tea Liquor,90.54,769,3/15/2022,household,Quire,CE,Room 184,true,5/6/2022
166,Peas Snow,11.92,270,8/14/2023,household,Wordpedia,ATEC,PO Box 83897,false,6/7/2022
167,Cheese - Feta,64.36,801,3/5/2022,beverages,Youbridge,HIVE,13th Floor,true,7/23/2023
168,Pork Loin Bine - In Frenched,48.18,348,11/27/2023,beverages,Skalith,AEL,PO Box 18732,false,4/5/2023
169,"Oregano - Dry, Rubbed",13.0,933,12/11/2023,beverages,Aivee,RGCO,PO Box 79847,false,12/29/2022
170,"Mushroom - Trumpet, Dry",74.26,969,9/14/2023,household,Quamba,SITO,Suite 98,true,8/21/2023
171,Cookie - Dough Variety,13.34,89,4/25/2023,beverages,Brightbean,BMY,8th Floor,false,4/10/2022
172,Vinegar - White,44.59,174,6/26/2022,beverages,Photobean,PRGX,PO Box 77665,false,3/9/2022
173,Tomatoes,41.25,603,6/7/2022,food,Avavee,PICO,9th Floor,true,7/25/2022
174,"Tortillas - Flour, 8",76.61,227,7/3/2022,food,Kazio,ZPIN,PO Box 2375,false,10/25/2022
175,Longos - Lasagna Veg,65.88,488,4/7/2023,household,Twitterbeat,GPP,Suite 83,false,11/27/2023
176,Wine - Montecillo Rioja Crianza,79.15,471,2/1/2022,personal care,Tagtune,GAM^B,PO Box 33272,false,9/28/2023
177,Vinegar - White,86.21,994,10/10/2023,personal care,Blogtag,QCRH,4th Floor,false,12/8/2023
178,Red Pepper Paste,25.09,52,2/4/2023,personal care,Gabtune,CTRE,Room 1013,false,2/15/2022
179,"Bread - Rolls, Rye",36.4,980,5/7/2022,food,Chatterpoint,PHO,Apt 208,false,5/4/2023
180,Saskatoon Berries - Frozen,99.57,101,11/2/2023,household,Kwideo,AGEN,9th Floor,false,7/7/2022
181,Everfresh Products,40.76,480,10/8/2022,household,Eayo,ETG,Room 698,false,1/23/2022
182,Tamarillo,95.29,360,11/10/2022,food,Devbug,FGL,Apt 1875,true,4/18/2022
183,Water - San Pellegrino,36.93,77,1/11/2023,beverages,Rooxo,RICE,5th Floor,true,7/24/2022
184,Langers - Ruby Red Grapfruit,82.52,578,10/10/2022,food,Blogpad,ATI,PO Box 89967,false,9/29/2022
185,White Baguette,22.26,227,2/1/2022,personal care,Photobean,ZAIS,3rd Floor,false,10/8/2023
186,Pepper - Sorrano,35.61,531,11/23/2022,food,Centizu,NICE,Suite 48,true,7/4/2022
187,Creme De Cacao Mcguines,3.67,303,4/24/2022,household,Myworks,CJ,Apt 695,true,10/4/2023
188,"Sauce - Bernaise, Mix",78.68,356,4/20/2023,beverages,Twiyo,FFA,5th Floor,false,3/26/2022
189,Apricots - Dried,29.48,979,7/1/2023,food,Roombo,PRLB,PO Box 43829,true,1/24/2022
190,"Tortillas - Flour, 12",96.34,769,2/20/2022,beverages,Shufflester,DB,Apt 1706,false,8/8/2022
191,Turkey - Ground. Lean,76.32,337,6/16/2023,beverages,Dabjam,DPLO,9th Floor,false,10/25/2022
192,"Salmon - Atlantic, Fresh, Whole",4.81,743,11/22/2023,food,Skiba,FRC^G,14th Floor,true,11/14/2022
193,Clam - Cherrystone,50.41,381,2/6/2022,household,Skalith,CGI,Room 743,false,3/14/2023
194,Muffin Mix - Raisin Bran,26.86,543,7/24/2022,household,Pixonyx,NFEC,PO Box 93400,true,11/2/2023
195,Wild Boar - Tenderloin,92.85,684,9/4/2022,household,Buzzshare,LXP,Apt 470,true,7/30/2022
196,Broom Handle,8.39,940,6/27/2023,personal care,Jayo,JRJC,Apt 1657,true,11/27/2022
197,Truffle - Whole Black Peeled,15.61,252,9/4/2022,beverages,Fatz,OCN,16th Floor,false,1/19/2023
198,Sobe - Berry Energy,13.26,924,1/20/2022,beverages,Gevee,BMTC,Room 11,true,9/12/2023
199,"Pasta - Canelloni, Single Serve",18.56,275,11/7/2023,personal care,Thoughtmix,VLT,11th Floor,false,8/6/2023
200,"Beans - Kidney, Red Dry",97.75,950,7/22/2022,household,Twinder,GUT,PO Box 99445,true,9/7/2022
201,Cornflakes,92.71,256,5/22/2023,food,Yodoo,PPC,PO Box 15773,false,2/4/2022
202,Wine - Jackson Triggs Okonagan,37.72,810,5/4/2023,personal care,Topiclounge,JBSS,Apt 1234,true,10/3/2022
203,Chocolate - Milk,54.44,327,11/27/2023,food,Edgepulse,MYRG,Apt 981,true,4/1/2022
204,"Vodka - Hot, Lnferno",14.48,910,7/19/2022,household,Tekfly,KIM^K,13th Floor,false,5/15/2023
205,Versatainer Nc - 9388,97.38,889,11/2/2023,personal care,Eimbee,LTXB,Suite 17,false,8/31/2022
206,Cherries - Frozen,82.05,165,1/18/2022,beverages,Skiptube,SYNL,Apt 1570,true,9/7/2023
207,Lemon Balm - Fresh,87.14,732,9/16/2023,personal care,Lazzy,AMH^D,Suite 2,false,6/2/2022
208,Pork - Backfat,87.43,545,9/12/2022,beverages,Avavee,CPSH,Suite 63,false,3/16/2023
209,Sugar - Palm,19.84,633,6/18/2023,food,Ntags,JGH,PO Box 58230,false,7/17/2022
210,Sun - Dried Tomatoes,65.43,284,7/10/2023,food,Jaxworks,WALA,Apt 967,true,12/5/2023
211,Chivas Regal - 12 Year Old,52.84,983,3/9/2023,beverages,Voolith,SLM,PO Box 46957,true,7/26/2022
212,Salt And Pepper Mix - Black,37.94,209,4/9/2022,household,Janyx,WASH,Room 1150,true,10/2/2023
213,Tilapia - Fillets,80.91,302,11/16/2023,food,Agimba,VVUS,Apt 643,true,5/16/2023
214,Eggs - Extra Large,17.88,281,7/7/2022,personal care,Yodo,XL,Room 1123,false,2/18/2022
215,"Bread - Sticks, Thin, Plain",89.93,143,2/18/2023,food,Photobug,NPV,Apt 1002,true,12/8/2023
216,"Cherries - Maraschino,jar",36.42,600,7/5/2022,household,Twitterwire,MMDM,Room 364,false,5/8/2023
217,Towel Multifold,44.9,169,9/15/2023,personal care,Rhyzio,AGC,Apt 133,true,6/25/2023
218,Anchovy In Oil,62.01,572,6/3/2023,household,Babblestorm,INCY,Suite 75,true,12/21/2023
219,"Beans - Black Bean, Preserved",48.79,834,3/6/2022,beverages,Oba,OBAS,2nd Floor,false,3/18/2022
220,"Quail - Whole, Bone - In",89.23,737,1/1/2023,personal care,Photojam,MDCO,Room 1578,true,7/19/2022
221,Bread - Hot Dog Buns,85.96,192,2/13/2023,food,Minyx,AIQ,13th Floor,true,7/1/2023
222,Soap - Mr.clean Floor Soap,35.52,954,5/2/2023,beverages,Oyope,DTYL,19th Floor,true,3/20/2022
223,Teriyaki Sauce,47.87,158,1/15/2023,food,Podcat,HVT.A,Room 1735,false,5/30/2022
224,Lamb - Shanks,7.43,776,1/23/2023,beverages,Twimm,NVCR,2nd Floor,false,4/21/2022
225,The Pop Shoppe - Black Cherry,23.9,632,4/20/2022,household,BlogXS,PERF,Room 439,false,2/1/2023
226,Steam Pan - Half Size Deep,38.01,432,12/8/2023,household,Edgeblab,GOOGL,Apt 1284,true,4/19/2022
227,Wine - Guy Sage Touraine,14.01,917,11/20/2023,household,Centizu,MNOV,Apt 110,true,1/28/2022
228,Wine - Rosso Toscano Igt,52.65,519,12/10/2023,personal care,Blogtag,MTB.WS,Room 574,false,12/8/2023
229,Sauce - Alfredo,39.41,979,2/19/2022,beverages,Demivee,TBI,Room 1606,false,5/23/2023
230,Tart - Raisin And Pecan,33.69,975,10/9/2023,beverages,Tekfly,EOCC,Apt 227,true,3/26/2022
231,Swiss Chard,35.83,952,6/6/2022,food,Oyondu,URGN,PO Box 56255,false,6/29/2022
232,Kirsch - Schloss,56.61,244,11/29/2022,beverages,Quimba,MBRX,Apt 1759,false,4/6/2023
233,Sterno - Chafing Dish Fuel,41.17,750,7/10/2023,household,Viva,TIER,14th Floor,false,10/17/2023
234,Galliano,1.68,495,12/19/2022,personal care,Zoomlounge,TWOU,Apt 1053,false,12/29/2023
235,"Pork - Bacon, Sliced",92.66,512,3/20/2023,personal care,Centidel,HEES,17th Floor,false,10/13/2022
236,"Soup - Beef Conomme, Dry",23.93,677,7/26/2022,food,Trudeo,GLP,Apt 1035,true,2/22/2022
237,Ostrich - Fan Fillet,62.91,338,10/28/2023,household,Thoughtworks,ZBH,Suite 7,false,5/14/2022
238,Duck - Whole,31.48,71,7/13/2023,household,Jabbertype,TCO^J,Room 1223,false,12/6/2023
239,Pears - Bosc,26.43,738,7/10/2023,beverages,Voonix,FCH^A,13th Floor,true,6/29/2023
240,Bread Fig And Almond,44.97,587,5/14/2022,personal care,Jetpulse,CNQ,PO Box 25033,true,9/15/2022
241,"Spoon - Soup, Plastic",41.45,155,2/17/2023,household,Skimia,SVVC,Suite 62,false,6/15/2022
242,Sour Puss Sour Apple,91.8,578,8/24/2023,personal care,Quire,MPWR,9th Floor,false,10/30/2023
243,Extract - Raspberry,91.47,465,2/22/2022,personal care,Devpoint,IPL^D,Suite 66,false,1/6/2023
244,"Cake Circle, Foil, Scallop",90.29,785,7/4/2022,food,Ooba,CHSCM,Apt 485,false,8/10/2023
245,Sprouts - Peppercress,31.6,982,1/24/2023,beverages,Zazio,PGR,Room 1447,true,3/1/2022
246,Blue Curacao - Marie Brizard,65.23,492,8/21/2023,personal care,Skinte,AIZ,Apt 683,false,2/10/2022
